Event ID,Attack Type,Start Time,End Time,Duration (Samples),Avg RSSI
2,Rogue SSID,304,304,1,-84.0
4,Evil Twin,2720,2720,1,-70.0
6,Evil Twin,2874,2874,1,-69.0
8,Evil Twin,3076,3076,1,-63.0
10,Rogue SSID,4076,4076,1,-61.0
12,Evil Twin,4769,4769,1,-63.0
14,Evil Twin,4800,4800,1,-63.0
16,Rogue SSID,8855,8855,1,-49.0
18,Evil Twin,9535,9535,1,-54.0
20,Rogue SSID,9608,9608,1,-63.0
22,Rogue SSID,10270,10270,1,-79.0
24,Rogue SSID,285,285,1,-85.0
26,Evil Twin,1870,1870,1,-54.0
28,Evil Twin,2991,2991,1,-54.0
30,Evil Twin,3071,3071,1,-54.0
32,Rogue SSID,4302,4302,1,-74.0
34,Evil Twin,4342,4342,1,-64.0
36,Rogue SSID,4454,4454,1,-86.0
38,Rogue SSID,4666,4666,1,-35.0
40,Evil Twin,5278,5278,1,-61.0
42,Evil Twin,249,249,1,-67.0
44,Evil Twin,2176,2176,1,-72.0
46,Evil Twin,3341,3341,1,-70.0
48,Evil Twin,3677,3677,1,-70.0
50,Rogue SSID,3835,3835,1,-65.0
52,Evil Twin,4132,4132,1,-65.0
54,Evil Twin,4433,4433,1,-63.0
56,Evil Twin,4610,4610,1,-74.0
58,Evil Twin,4672,4672,1,-81.0
60,Rogue SSID,4774,4774,1,-77.0
62,Rogue SSID,4870,4870,1,-72.0
64,Rogue SSID,5471,5471,1,-75.0
66,Evil Twin,7165,7165,1,-83.0
68,Evil Twin,8777,8777,1,-76.0
70,Evil Twin,9385,9385,1,-72.0
72,Evil Twin,10680,10680,1,-75.0
74,Evil Twin,1784,1784,1,-75.0
76,Evil Twin,3258,3258,1,-46.0
78,Rogue SSID,3758,3758,1,-52.0
80,Evil Twin,3879,3879,1,-55.0
82,Rogue SSID,3891,3891,1,-64.0
84,Rogue SSID,4273,4273,1,-63.0
86,Rogue SSID,4344,4344,1,-47.0
88,Evil Twin,4530,4530,1,-51.0
90,Evil Twin,4851,4851,1,-55.0
92,Rogue SSID,5027,5027,1,-66.0
94,Evil Twin,4020,4020,1,-78.0
96,Rogue SSID,4920,4920,1,-76.0
98,Rogue SSID,1816,1816,1,-72.0
100,Evil Twin,3867,3867,1,-90.0
102,Evil Twin,225,225,1,-86.0
104,Rogue SSID,303,303,1,-81.0
106,Distributional Outlier,2153,2588,5,-84.6
108,Evil Twin,290,290,1,-55.0
110,Evil Twin,3744,3744,1,-56.0
112,Rogue SSID,651,651,1,-42.0
114,Rogue SSID,7907,7907,1,-49.0
116,Rogue SSID,9146,9146,1,-46.0
118,Rogue SSID,9452,9452,1,-52.0
120,Evil Twin,9996,9996,1,-38.0
122,Evil Twin,11223,11223,1,-46.0
124,Evil Twin,198,198,1,-66.0
126,Evil Twin,1749,1749,1,-70.0
128,Rogue SSID,2653,2653,1,-77.0
130,Evil Twin,2922,2922,1,-70.0
132,Evil Twin,192,192,1,-73.0
134,Distributional Outlier,1919,2543,33,-94.0
136,Rogue SSID,2859,2859,1,-72.0
138,Evil Twin,3033,3033,1,-73.0
140,Rogue SSID,4298,4298,1,-71.0
142,Rogue SSID,4578,4578,1,-87.0
143,Evil Twin,4579,4579,1,-87.0
145,Evil Twin,4699,4699,1,-69.0
147,Rogue SSID,4916,4916,1,-92.0
149,Evil Twin,4936,4936,1,-83.0
151,Evil Twin,7207,7207,1,-65.0
153,Rogue SSID,9199,9199,1,-71.0
155,Rogue SSID,9866,9866,1,-76.0
157,Evil Twin,10451,10451,1,-75.0
159,Evil Twin,10611,10611,1,-78.0
161,Evil Twin,10673,10673,1,-75.0
163,Rogue SSID,10735,10735,1,-68.0
165,Rogue SSID,10927,10927,1,-87.0
167,Evil Twin,11216,11216,1,-74.0
169,Evil Twin,271,271,1,-43.0
171,Evil Twin,308,308,1,-66.0
173,Evil Twin,741,741,1,-69.0
175,Evil Twin,4656,4656,1,-74.0
177,Rogue SSID,4853,4853,1,-57.0
179,Evil Twin,5179,5179,1,-69.0
181,Evil Twin,6051,6051,1,-37.0
183,Evil Twin,176,176,1,-59.0
185,Evil Twin,721,721,1,-59.0
187,Evil Twin,785,785,1,-71.0
189,Evil Twin,1244,1244,1,-72.0
191,Evil Twin,1935,1935,1,-73.0
193,Rogue SSID,2014,2014,1,-49.0
195,Rogue SSID,2302,2302,1,-64.0
197,Evil Twin,2658,2658,1,-80.0
199,Evil Twin,7163,7163,1,-85.0
201,Evil Twin,8896,8896,1,-43.0
203,Evil Twin,8931,8931,1,-42.0
205,Evil Twin,9080,9080,1,-46.0
207,Evil Twin,9296,9296,1,-49.0
209,Evil Twin,9459,9459,1,-46.0
211,Evil Twin,9620,9620,1,-49.0
213,Evil Twin,9964,9964,1,-57.0
215,Rogue SSID,10100,10100,1,-49.0
217,Evil Twin,10842,10842,1,-65.0
219,Evil Twin,10913,10913,1,-46.0
221,Evil Twin,11245,11245,1,-43.0
223,Rogue SSID,2993,2993,1,-63.0
225,Evil Twin,3844,3844,1,-43.0
227,Evil Twin,3860,3860,1,-73.0
229,Evil Twin,4327,4327,1,-52.0
231,Evil Twin,4575,4575,1,-61.0
233,Evil Twin,5772,5772,1,-79.0
235,Evil Twin,346,346,1,-74.0
237,Rogue SSID,1907,1907,1,-80.0
239,Rogue SSID,4432,4432,1,-91.0
241,Evil Twin,1851,1851,1,-72.0
243,Evil Twin,2055,2055,1,-72.0
245,Rogue SSID,4084,4084,1,-90.0
247,Evil Twin,4685,4685,1,-87.0
249,Rogue SSID,6532,6532,1,-84.0
251,Evil Twin,6905,6905,1,-68.0
253,Rogue SSID,6915,6915,1,-82.0
255,Evil Twin,7839,7839,1,-69.0
256,Rogue SSID,7852,7852,1,-84.0
258,Evil Twin,8976,8976,1,-81.0
260,Evil Twin,9950,9950,1,-77.0
262,Evil Twin,10838,10838,1,-81.0
264,Rogue SSID,10850,10850,1,-77.0
266,Evil Twin,10860,10860,1,-81.0
268,Evil Twin,4001,4001,1,-93.0
270,Evil Twin,9346,9346,1,-82.0
272,Rogue SSID,10056,10056,1,-70.0
274,Rogue SSID,97,97,1,-55.0
276,Rogue SSID,306,306,1,-43.0
278,Evil Twin,341,341,1,-65.0
280,Evil Twin,505,505,1,-66.0
282,Rogue SSID,1108,1108,1,-54.0
284,Evil Twin,1195,1195,1,-52.0
286,Rogue SSID,2054,2054,1,-46.0
288,Evil Twin,2349,2349,1,-51.0
290,Evil Twin,2529,2529,1,-43.0
292,Evil Twin,4720,4720,1,-51.0
294,Rogue SSID,5145,5145,1,-77.0
296,Evil Twin,5355,5355,1,-76.0
298,Evil Twin,9331,9331,1,-75.0
300,Evil Twin,9497,9497,1,-80.0
302,Rogue SSID,10711,10711,1,-78.0
304,Evil Twin,482,482,1,-78.0
306,Evil Twin,3928,3928,1,-86.0
308,Evil Twin,4040,4040,1,-90.0
310,Evil Twin,5103,5103,1,-89.0
312,Evil Twin,5496,5496,1,-59.0
314,Evil Twin,5843,5843,1,-63.0
316,Evil Twin,8451,8451,1,-60.0
318,Evil Twin,8776,8776,1,-28.0
320,Rogue SSID,9446,9446,1,-43.0
322,Rogue SSID,9979,9979,1,-52.0
324,Rogue SSID,10138,10138,1,-54.0
326,Evil Twin,10350,10350,1,-59.0
328,Evil Twin,10456,10456,1,-57.0
330,Rogue SSID,10850,10850,1,-49.0
332,Evil Twin,10875,10875,1,-58.0
334,Evil Twin,3855,3855,1,-70.0
336,Evil Twin,4254,4254,1,-79.0
338,Evil Twin,4706,4706,1,-85.0
340,Rogue SSID,700,700,1,-88.0
342,Rogue SSID,9071,9071,1,-82.0
344,Rogue SSID,9919,9919,1,-86.0
346,Evil Twin,491,491,1,-67.0
348,Evil Twin,3208,3208,1,-70.0
350,Evil Twin,3543,3543,1,-65.0
352,Evil Twin,3783,3783,1,-65.0
354,Rogue SSID,4358,4358,1,-92.0
356,Rogue SSID,5414,5414,1,-61.0
358,Evil Twin,6601,6601,1,-89.0
360,Rogue SSID,6707,6707,1,-84.0
362,Evil Twin,8831,8831,1,-84.0
364,Evil Twin,9367,9367,1,-83.0
366,Evil Twin,9873,9873,1,-66.0
368,Evil Twin,10858,10858,1,-73.0
370,Evil Twin,11014,11014,1,-69.0
372,Rogue SSID,11127,11127,1,-77.0
374,Rogue SSID,7749,7749,1,-55.0
376,Rogue SSID,8607,8607,1,-55.0
378,Rogue SSID,8873,8873,1,-64.0
380,Evil Twin,9188,9188,1,-57.0
382,Evil Twin,9662,9680,2,-50.5
384,Evil Twin,10037,10037,1,-44.0
386,Evil Twin,10284,10284,1,-42.0
388,Rogue SSID,10944,10944,1,-37.0
390,Distributional Outlier,110,222,2,-100.0
392,Evil Twin,10340,10340,1,-86.0
394,Rogue SSID,64,64,1,-78.0
396,Evil Twin,247,247,1,-68.0
398,Evil Twin,1300,1300,1,-68.0
400,Evil Twin,1360,1360,1,-86.0
402,Rogue SSID,743,743,1,-70.0
404,Evil Twin,821,821,1,-71.0
406,Rogue SSID,6424,6424,1,-72.0
408,Evil Twin,6572,6572,1,-77.0
410,Rogue SSID,7671,7671,1,-75.0
412,Evil Twin,7981,7981,1,-73.0
414,Evil Twin,8916,8919,2,-66.0
416,Evil Twin,9662,9662,1,-79.0
418,Rogue SSID,9903,9903,1,-61.0
420,Evil Twin,10079,10079,1,-66.0
422,Evil Twin,10248,10248,1,-68.0
424,Evil Twin,10489,10489,1,-64.0
426,Evil Twin,10684,10684,1,-62.0
428,Evil Twin,10788,10788,1,-62.0
430,Evil Twin,10867,10867,1,-69.0
432,Rogue SSID,11343,11343,1,-69.0
434,Evil Twin,9011,9011,1,-87.0
436,Evil Twin,189,189,1,-78.0
438,Rogue SSID,2392,2392,1,-80.0
440,Rogue SSID,3072,3072,1,-84.0
442,Rogue SSID,1688,1688,1,-73.0
444,Rogue SSID,612,612,1,-75.0
446,Evil Twin,708,708,1,-67.0
448,Evil Twin,850,850,1,-68.0
450,Evil Twin,2415,2415,1,-73.0
452,Evil Twin,5787,5787,1,-80.0
454,Evil Twin,6803,6803,1,-74.0
456,Rogue SSID,8362,8362,1,-79.0
458,Evil Twin,8760,8760,1,-56.0
460,Evil Twin,8865,8865,1,-72.0
462,Rogue SSID,9611,9611,1,-71.0
464,Evil Twin,10297,10297,1,-72.0
466,Evil Twin,10353,10353,1,-69.0
468,Evil Twin,10583,10583,1,-77.0
470,Evil Twin,10708,10708,1,-65.0
472,Evil Twin,11,11,1,-54.0
474,Evil Twin,155,155,1,-75.0
476,Evil Twin,411,411,1,-51.0
478,Evil Twin,893,893,1,-60.0
480,Evil Twin,987,987,1,-68.0
482,Rogue SSID,1015,1015,1,-56.0
484,Evil Twin,1212,1212,1,-70.0
486,Evil Twin,1409,1409,1,-58.0
488,Evil Twin,2759,2759,1,-68.0
490,Evil Twin,299,299,1,-70.0
492,Evil Twin,4239,4239,1,-73.0
494,Evil Twin,4932,4932,1,-76.0
496,Evil Twin,9407,9407,1,-65.0
498,Rogue SSID,6350,6350,1,-78.0
500,Rogue SSID,2688,2688,1,-83.0
502,Evil Twin,3897,3897,1,-90.0
504,Evil Twin,9023,9023,1,-61.0
506,Evil Twin,9252,9252,1,-43.0
508,Rogue SSID,10178,10178,1,-34.0
510,Rogue SSID,10883,10883,1,-42.0
512,Evil Twin,10935,10935,1,-42.0
514,Rogue SSID,11172,11172,1,-43.0
516,Rogue SSID,2232,2232,1,-74.0
518,Rogue SSID,7384,7384,1,-76.0
520,Evil Twin,8337,8337,1,-81.0
522,Evil Twin,51,51,1,-71.0
524,Rogue SSID,93,93,1,-48.0
526,Evil Twin,563,563,1,-75.0
528,Rogue SSID,988,988,1,-53.0
530,Evil Twin,1137,1137,1,-73.0
532,Evil Twin,1194,1194,1,-80.0
534,Evil Twin,1455,1455,1,-43.0
536,Evil Twin,1512,1512,1,-71.0
538,Rogue SSID,2299,2299,1,-48.0
540,Rogue SSID,2987,2987,1,-61.0
542,Evil Twin,4872,4872,1,-92.0
544,Evil Twin,365,404,2,-94.0
546,Evil Twin,1938,1938,1,-86.0
548,Evil Twin,6605,6605,1,-88.0
550,Evil Twin,7374,7374,1,-86.0
552,Evil Twin,5247,5247,1,-81.0
554,Evil Twin,1891,1891,1,-87.0
556,Evil Twin,8982,8982,1,-84.0
558,Evil Twin,633,633,1,-76.0
560,Evil Twin,758,758,1,-84.0
562,Evil Twin,6307,6307,1,-57.0
564,Evil Twin,6618,6618,1,-60.0
566,Evil Twin,7141,7141,1,-76.0
568,Evil Twin,7317,7317,1,-46.0
570,Evil Twin,10251,10251,1,-83.0
572,Evil Twin,730,730,1,-81.0
574,Rogue SSID,6697,6697,1,-62.0
576,Evil Twin,6777,6777,1,-70.0
578,Evil Twin,8181,8181,1,-70.0
580,Rogue SSID,8745,8745,1,-73.0
582,Evil Twin,10428,10428,1,-85.0
584,Evil Twin,10527,10527,1,-77.0
586,Evil Twin,210,210,1,-77.0
588,Evil Twin,789,789,1,-82.0
590,Evil Twin,1199,1199,1,-82.0
592,Rogue SSID,1477,1477,1,-75.0
594,Evil Twin,7512,7512,1,-55.0
596,Evil Twin,10190,10190,1,-63.0
598,Rogue SSID,10515,10515,1,-69.0
600,Evil Twin,10835,10835,1,-68.0
602,Evil Twin,11023,11023,1,-62.0
604,Rogue SSID,11189,11189,1,-78.0
606,Rogue SSID,573,573,1,-58.0
608,Evil Twin,6670,6670,1,-56.0
610,Evil Twin,6931,6931,1,-49.0
612,Rogue SSID,7094,7094,1,-57.0
614,Evil Twin,7769,7769,1,-54.0
616,Evil Twin,8083,8083,1,-49.0
618,Rogue SSID,8320,8320,1,-50.0
620,Rogue SSID,8419,8419,1,-50.0
622,Evil Twin,9822,9822,1,-76.0
624,Evil Twin,6496,6496,1,-64.0
626,Evil Twin,6726,6726,1,-55.0
628,Distributional Outlier,7404,8031,59,-78.1
630,Evil Twin,10593,10593,1,-78.0
632,Evil Twin,10950,10950,1,-73.0
634,Evil Twin,10957,10957,1,-78.0
636,Evil Twin,6366,6366,1,-73.0
638,Evil Twin,285,285,1,-60.0
640,Evil Twin,3534,3534,1,-42.0
642,Evil Twin,3681,3681,1,-47.0
644,Rogue SSID,4128,4128,1,-57.0
646,Rogue SSID,4677,4677,1,-68.0
648,Rogue SSID,5122,5122,1,-62.0
650,Rogue SSID,5740,5740,1,-53.0
652,Evil Twin,6129,6129,1,-57.0
654,Evil Twin,754,754,1,-63.0
656,Rogue SSID,9063,9063,1,-64.0
658,Evil Twin,9738,9738,1,-65.0
660,Rogue SSID,10154,10154,1,-76.0
662,Rogue SSID,10886,10886,1,-75.0
664,Evil Twin,396,396,1,-77.0
666,Rogue SSID,587,587,1,-61.0
668,Evil Twin,968,968,1,-88.0
670,Evil Twin,1202,1202,1,-78.0
672,Rogue SSID,7285,7285,1,-88.0
674,Evil Twin,334,334,1,-71.0
676,Evil Twin,4005,4005,1,-59.0
678,Evil Twin,4488,4488,1,-70.0
680,Rogue SSID,5174,5174,1,-67.0
682,Evil Twin,5382,5382,1,-42.0
684,Rogue SSID,5918,5940,2,-63.0
686,Evil Twin,369,369,1,-68.0
688,Evil Twin,4026,4026,1,-90.0
690,Rogue SSID,4282,4282,1,-85.0
692,Evil Twin,4400,4400,1,-75.0
694,Evil Twin,4545,4545,1,-76.0
696,Evil Twin,4606,4606,1,-62.0
698,Evil Twin,4807,4807,1,-59.0
700,Evil Twin,5035,5035,1,-88.0
702,Rogue SSID,5663,5663,1,-83.0
704,Evil Twin,3879,3879,1,-77.0
706,Rogue SSID,4486,4486,1,-62.0
708,Evil Twin,4623,4623,1,-83.0
710,Evil Twin,4645,4645,1,-64.0
712,Rogue SSID,6354,6354,1,-81.0
714,Rogue SSID,3847,3847,1,-87.0
716,Evil Twin,4247,4247,1,-85.0
718,Rogue SSID,4445,4445,1,-88.0
720,Rogue SSID,4576,4576,1,-90.0
722,Evil Twin,9425,9425,1,-84.0
724,Evil Twin,10538,10538,1,-83.0
726,Evil Twin,10709,10709,1,-87.0
728,Evil Twin,3879,3879,1,-64.0
730,Rogue SSID,3915,3915,1,-67.0
732,Evil Twin,4652,4652,1,-73.0
734,Evil Twin,4867,4867,1,-78.0
736,Rogue SSID,9161,9161,1,-70.0
738,Evil Twin,1848,1848,1,-72.0
740,Evil Twin,2206,2206,1,-74.0
742,Evil Twin,2331,2331,1,-75.0
744,Rogue SSID,2884,2884,1,-75.0
746,Evil Twin,5163,5163,1,-86.0
748,Evil Twin,10064,10064,1,-84.0
750,Rogue SSID,10168,10168,1,-84.0
752,Rogue SSID,388,388,1,-68.0
754,Evil Twin,1959,2042,2,-75.0
756,Rogue SSID,4634,4634,1,-74.0
758,Evil Twin,6309,6309,1,-45.0
760,Evil Twin,6934,6934,1,-63.0
762,Rogue SSID,7013,7013,1,-60.0
764,Evil Twin,7157,7157,1,-51.0
766,Evil Twin,7887,7887,1,-59.0
768,Evil Twin,8217,8217,1,-64.0
770,Rogue SSID,323,323,1,-80.0
772,Rogue SSID,1716,1716,1,-81.0
774,Evil Twin,3917,3917,1,-84.0
776,Evil Twin,4324,4324,1,-81.0
778,Evil Twin,4735,4735,1,-78.0
780,Rogue SSID,4785,4785,1,-78.0
782,Evil Twin,4886,4886,1,-67.0
784,Rogue SSID,4905,4905,1,-67.0
786,Evil Twin,5560,5560,1,-51.0
788,Evil Twin,5957,5957,1,-56.0
790,Distributional Outlier,282,3984,68,-77.0
792,Evil Twin,4126,4126,1,-83.0
794,Evil Twin,4391,4391,1,-63.0
796,Evil Twin,4666,4666,1,-84.0
798,Evil Twin,4755,4755,1,-68.0
800,Rogue SSID,5102,5102,1,-64.0
802,Evil Twin,5292,5292,1,-65.0
804,Rogue SSID,5816,5816,1,-50.0
806,Evil Twin,9075,9075,1,-57.0
808,Evil Twin,4040,4040,1,-74.0
810,Rogue SSID,4357,4357,1,-58.0
812,Evil Twin,4654,4654,1,-61.0
814,Evil Twin,4727,4727,1,-79.0
816,Evil Twin,5062,5062,1,-79.0
818,Evil Twin,5292,5292,1,-71.0
820,Evil Twin,5788,5788,1,-64.0
822,Rogue SSID,6060,6060,1,-67.0
824,Rogue SSID,8843,8843,1,-75.0
826,Evil Twin,271,271,1,-53.0
828,Evil Twin,308,308,1,-66.0
830,Evil Twin,3708,3708,1,-59.0
832,Evil Twin,3742,3742,1,-57.0
834,Evil Twin,3812,3812,1,-88.0
836,Evil Twin,4128,4128,1,-67.0
838,Evil Twin,4218,4218,1,-78.0
840,Rogue SSID,4577,4577,1,-84.0
842,Evil Twin,4750,4750,1,-76.0
844,Distributional Outlier,5535,11007,236,-50.1
846,Evil Twin,3577,3577,1,-41.0
848,Rogue SSID,3920,3920,1,-72.0
850,Rogue SSID,4274,4274,1,-70.0
852,Rogue SSID,4599,4599,1,-48.0
854,Evil Twin,4795,4795,1,-71.0
856,Evil Twin,5129,5129,1,-67.0
858,Evil Twin,5387,5387,1,-49.0
860,Evil Twin,5901,5901,1,-51.0
862,Rogue SSID,5973,5973,1,-61.0
864,Evil Twin,1859,1859,1,-73.0
866,Rogue SSID,2752,2752,1,-73.0
868,Rogue SSID,3915,3915,1,-94.0
869,Evil Twin,3942,3942,1,-89.0
871,Rogue SSID,4126,4126,1,-88.0
872,Evil Twin,4130,4130,1,-93.0
874,Evil Twin,4166,4166,1,-93.0
876,Evil Twin,4356,4356,1,-76.0
878,Rogue SSID,4625,4625,1,-85.0
880,Rogue SSID,4673,4673,1,-87.0
882,Evil Twin,4886,4926,2,-87.5
884,Evil Twin,3666,3666,1,-52.0
886,Evil Twin,4200,4200,1,-81.0
888,Evil Twin,5511,5511,1,-75.0
890,Rogue SSID,6261,6261,1,-75.0
892,Evil Twin,161,161,1,-72.0
894,Evil Twin,219,219,1,-72.0
896,Evil Twin,391,391,1,-85.0
898,Evil Twin,684,684,1,-82.0
900,Rogue SSID,916,916,1,-88.0
902,Evil Twin,1787,1793,2,-72.5
904,Evil Twin,1858,1858,1,-72.0
