Recall,WiMapper (Proposed),Hybrid (GMM),Hybrid (IF),Hybrid (AE)
0.0,1.0,1.0,1.0,1.0
0.010101010101010102,0.9999986658259543,0.9999986658259543,0.9999986658259543,0.9999986658259543
0.020202020202020204,0.9999973316519085,0.9999973316519085,0.9999973316519085,0.9999973316519085
0.030303030303030304,0.9999959974778628,0.9999959974778628,0.9999959974778628,0.9999959974778628
0.04040404040404041,0.999994663303817,0.999994663303817,0.999994663303817,0.999994663303817
0.05050505050505051,0.9999933291297711,0.9999933291297711,0.9999933291297711,0.9999933291297711
0.06060606060606061,0.9999919949557257,0.9999919949557257,0.9999919949557257,0.9999919949557257
0.07070707070707072,0.9999906607816798,0.9999906607816798,0.9999906607816798,0.9999906607816798
0.08080808080808081,0.999989326607634,0.999989326607634,0.999989326607634,0.999989326607634
0.09090909090909091,0.9999879924335883,0.9999879924335883,0.9999879924335883,0.9999879924335883
0.10101010101010102,0.9999866582595425,0.9999866582595425,0.9999866582595425,0.9999866582595425
0.11111111111111112,0.9999853240854968,0.9999853240854968,0.9999853240854968,0.9999853240854968
0.12121212121212122,0.9999839899114511,0.9999839899114511,0.9999839899114511,0.9999839899114511
0.13131313131313133,0.9999826557374053,0.9999826557374053,0.9999826557374053,0.9999826557374053
0.14141414141414144,0.9999813215633596,0.9999813215633596,0.9999813215633596,0.9999813215633596
0.15151515151515152,0.9999799873893138,0.9999799873893138,0.9999799873893138,0.9999799873893138
0.16161616161616163,0.9999786532152679,0.9999786532152679,0.9999786532152679,0.9999786532152679
0.17171717171717174,0.9999773190412224,0.9999773190412224,0.9999773190412224,0.9999773190412224
0.18181818181818182,0.9999759848671765,0.9999759848671765,0.9999759848671765,0.9999759848671765
0.19191919191919193,0.999974650693131,0.999974650693131,0.999974650693131,0.999974650693131
0.20202020202020204,0.999973316519085,0.999973316519085,0.999973316519085,0.999973316519085
0.21212121212121213,0.9999719823450393,0.9999719823450393,0.9999719823450393,0.9999719823450393
0.22222222222222224,0.9999706481709936,0.9999706481709936,0.9999706481709936,0.9999706481709936
0.23232323232323235,0.9999693139969479,0.9999693139969479,0.9999693139969479,0.9999693139969479
0.24242424242424243,0.9999679798229021,0.9999679798229021,0.9999679798229021,0.9999679798229021
0.25252525252525254,0.9999666456488564,0.9999666456488564,0.9999666456488564,0.9999666456488564
0.26262626262626265,0.9999653114748106,0.9999653114748106,0.9999653114748106,0.9999653114748106
0.27272727272727276,0.9999639773007649,0.9999639773007649,0.9999639773007649,0.9999639773007649
0.2828282828282829,0.9999626431267192,0.9999626431267192,0.9999626431267192,0.9999626431267192
0.29292929292929293,0.9999613089526733,0.9999613089526733,0.9999613089526733,0.9999613089526733
0.30303030303030304,0.9999599747786277,0.9999599747786277,0.9999599747786277,0.9999599747786277
0.31313131313131315,0.9999586406045818,0.9999586406045818,0.9999586406045818,0.9999586406045818
0.32323232323232326,0.999957306430536,0.999957306430536,0.999957306430536,0.999957306430536
0.33333333333333337,0.9999559722564904,0.9999559722564904,0.9999559722564904,0.9999559722564904
0.3434343434343435,0.9999546380824447,0.9999546380824447,0.9999546380824447,0.9999546380824447
0.3535353535353536,0.9999533039083989,0.9999533039083989,0.9999533039083989,0.9999533039083989
0.36363636363636365,0.9999519697343532,0.9999519697343532,0.9999519697343532,0.9999519697343532
0.37373737373737376,0.9999506355603074,0.9999506355603074,0.9999506355603074,0.9999506355603074
0.38383838383838387,0.9999493013862617,0.9999493013862617,0.9999493013862617,0.9999493013862617
0.393939393939394,0.999947967212216,0.999947967212216,0.999947967212216,0.999947967212216
0.4040404040404041,0.9999466330381701,0.9999466330381701,0.9999466330381701,0.9999466330381701
0.4141414141414142,0.9999452988641245,0.9999452988641245,0.9999452988641245,0.9999452988641245
0.42424242424242425,0.9999439646900786,0.9999439646900786,0.9999439646900786,0.9999439646900786
0.43434343434343436,0.999942630516033,0.999942630516033,0.999942630516033,0.999942630516033
0.4444444444444445,0.9999412963419871,0.9999412963419871,0.9999412963419871,0.9999412963419871
0.4545454545454546,0.9999399621679415,0.9999399621679415,0.9999399621679415,0.9999399621679415
0.4646464646464647,0.9999386279938957,0.9999386279938957,0.9999386279938957,0.9999386279938957
0.4747474747474748,0.99993729381985,0.99993729381985,0.99993729381985,0.99993729381985
0.48484848484848486,0.9999359596458042,0.9999359596458042,0.9999359596458042,0.9999359596458042
0.494949494949495,0.9999346254717585,0.9999346254717585,0.9999346254717585,0.9999346254717585
0.5050505050505051,0.9999332912977128,0.9999332912977128,0.9999332912977128,0.9999332912977128
0.5151515151515152,0.999931957123667,0.999931957123667,0.999931957123667,0.999931957123667
0.5252525252525253,0.9999306229496213,0.9999306229496213,0.9999306229496213,0.9999306229496213
0.5353535353535354,0.9999292887755754,0.9999292887755754,0.9999292887755754,0.9999292887755754
0.5454545454545455,0.9999279546015298,0.9999279546015298,0.9999279546015298,0.9999279546015298
0.5555555555555556,0.9999266204274839,0.9999266204274839,0.9999266204274839,0.9999266204274839
0.5656565656565657,0.9763230174114661,0.9751386489696179,0.9868812565361322,0.9636982632823402
0.5757575757575758,0.9716973699176865,0.9747503980023018,0.9810859952153154,0.9504842970834583
0.5858585858585859,0.959384061479529,0.9338248682127679,0.9722326795927332,0.9076720135975863
0.595959595959596,0.9478797446707266,0.8068220032319344,0.9038093492671665,0.8467365563375925
0.6060606060606061,0.9304768895954576,0.7321874688687899,0.8012200787625469,0.7581660481731656
0.6161616161616162,0.9232123931673598,0.6483881992236682,0.707216957527732,0.6744591843866589
0.6262626262626263,0.9133718090759413,0.5875109640936294,0.6202598150467515,0.5884587188362386
0.6363636363636365,0.8991358922395769,0.5442269185876745,0.5284725149395013,0.5116121890442594
0.6464646464646465,0.8808167544971812,0.5156270120136759,0.47737722699408797,0.45292605421246296
0.6565656565656566,0.8646139572181761,0.4747470493547198,0.4285238630320645,0.40392500528407965
0.6666666666666667,0.8361742277002759,0.4606981732691896,0.38682814575391916,0.35243754420589457
0.6767676767676768,0.7808495388064164,0.43067359356667173,0.3587748842760004,0.31616156668313555
0.686868686868687,0.7189538847246861,0.39033706773944976,0.3196159862580732,0.2855788258952444
0.696969696969697,0.6586433337273766,0.3561845496982352,0.29094447933088874,0.25839667043892733
0.7070707070707072,0.5920381107939692,0.3328757472102418,0.2704514307110697,0.23299945561627672
0.7171717171717172,0.5304021131438346,0.30620386051934556,0.24943884355765658,0.20703435422922753
0.7272727272727273,0.4671274059733353,0.27884132961038666,0.22804500980742062,0.1864336237727847
0.7373737373737375,0.41210269871227617,0.2559530856680904,0.21204775656211833,0.17023338194302037
0.7474747474747475,0.3305278585437847,0.23399512365923134,0.19286093889726397,0.15551024994015458
0.7575757575757577,0.2637783619000866,0.21064726794145566,0.17533829799163708,0.14411996402560076
0.7676767676767677,0.22551288987448775,0.18657274841299115,0.16214958550077868,0.1344631435168927
0.7777777777777778,0.2002838587745716,0.17032512304928474,0.1493381765667327,0.12601021293377537
0.787878787878788,0.17492198962440736,0.15658688879818383,0.13815727172338504,0.11726209575690767
0.797979797979798,0.15866897599349816,0.14307302384262477,0.12879142458064213,0.11007072782787283
0.8080808080808082,0.14589277963317052,0.13193377192293387,0.12020889734629095,0.10370055977716745
0.8181818181818182,0.132607695912477,0.12147635551887329,0.11228750975460644,0.09920563686400566
0.8282828282828284,0.1212053127554388,0.11459248962796278,0.10553653865991555,0.09500286708066912
0.8383838383838385,0.11352243931566719,0.1085415519001233,0.09955502391888028,0.09159368604501952
0.8484848484848485,0.10401923436379354,0.10150334983674203,0.09471047084468259,0.08812629786562401
0.8585858585858587,0.09665490083732348,0.09655838519186247,0.09038264696807682,0.08492121241478709
0.8686868686868687,0.08954731058440794,0.09270039057101016,0.08662441670043347,0.08200817684645889
0.8787878787878789,0.08277029225230302,0.08923146008753355,0.08306632064042216,0.07834260366214844
0.888888888888889,0.07842210645552242,0.08570871444326043,0.07950304444392757,0.07593131665921117
0.8989898989898991,0.07454629637680284,0.08152447442817098,0.07626492447863255,0.07341003640129877
0.9090909090909092,0.07169282281724959,0.07727026100881043,0.07304375495613384,0.07074913117398743
0.9191919191919192,0.06834627708930513,0.07423448666574203,0.07017569424096412,0.06874032151668377
0.9292929292929294,0.06519160965100247,0.07166577557455928,0.06750056567273618,0.06669888192610371
0.9393939393939394,0.06280393878734025,0.06899397491436395,0.06504054628367707,0.06480607363424323
0.9494949494949496,0.06110368928894534,0.06656761370313602,0.06300792142591352,0.06275229118370906
0.9595959595959597,0.05955736395494456,0.06301540237164119,0.06097331156677901,0.06093519038241799
0.9696969696969697,0.05777428273884226,0.059162336310469944,0.05912226712342217,0.05923978663293837
0.9797979797979799,0.05588206208359927,0.05717431469126949,0.057240940994363144,0.057566248763935214
0.98989898989899,0.054488217493677014,0.05524452514469221,0.0553015273375464,0.05627781349142288
1.0,0.05349693676402132,0.05349693676402132,0.05349693676402132,0.05349693676402132
